,v3_strength,mv13_ratio,bsp,zig,peak,p_pos,valley,p_v_value,v_pos,z_pos,dw_pct_prev,up_pct_prev,z_pct_prev,z_len_prev,z_pct_prev_avg,up_pct_avg,up_pct_avg_k,dw_pct_avg,dw_pct_avg_k,zig_pct_curr,zig_pct_curr_avg_k,zig_pct_avg,zig_pct_avg_k
3585,0.9082816445680661,1.4833547282841248,0.458,0,3827.0,5,3760.0,3827.0,20,5,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.418082048602042,-0.06968034143367367,-1.2868954166666668,0.07201704003813154
3586,1.1032948224219083,1.4598585655150003,0.56,0,3827.0,6,3760.0,3827.0,21,6,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.3396916644891612,-0.048527380641308744,-1.2868954166666668,0.07201704003813154
3587,1.31303951890359,1.157975683336917,0.645,0,3827.0,7,3760.0,3827.0,22,7,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.6532532009406844,-0.08165665011758555,-1.2868954166666668,0.07201704003813154
3588,1.214725205181821,1.1044502960016434,0.594,0,3827.0,8,3760.0,3827.0,23,8,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.9406846093545806,-0.10452051215050896,-1.2868954166666668,0.07201704003813154
3589,0.897529273348647,1.0117288017775812,1.443,0,3827.0,9,3760.0,3827.0,24,9,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.9668147373922187,-0.09668147373922187,-1.2868954166666668,0.07201704003813154
3590,1.2427455860172536,0.9609716172298549,1.943,0,3827.0,10,3760.0,3827.0,25,10,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.9929448654298456,-0.09026771503907688,-1.2868954166666668,0.07201704003813154
3591,1.1363431076340564,0.9402949991722755,1.747,0,3827.0,11,3760.0,3827.0,26,11,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.0190749934674725,-0.08492291612228937,-1.2868954166666668,0.07201704003813154
3592,1.4231739071979101,0.9706563853396922,0.656,0,3827.0,12,3760.0,3827.0,27,12,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.1497256336556072,-0.08844043335812363,-1.2868954166666668,0.07201704003813154
3593,2.890808287237289,1.1225678125434495,1.28,0,3827.0,13,3760.0,3827.0,28,13,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.810033969166446,-0.05785956922617471,-1.2868954166666668,0.07201704003813154
3594,1.1101162880287359,1.1448359367242877,0.494,0,3827.0,14,3760.0,3827.0,29,14,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.9668147373922187,-0.06445431582614791,-1.2868954166666668,0.07201704003813154
3595,0.8605117273411846,1.142358493615081,0.382,0,3827.0,15,3760.0,3827.0,30,15,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.7577737130911921,-0.04736085706819951,-1.2868954166666668,0.07201704003813154
3596,0.7041885662823516,1.1682115333418015,0.315,0,3827.0,16,3760.0,3827.0,31,16,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.8884243532793268,-0.052260256075254516,-1.2868954166666668,0.07201704003813154
3597,0.5209683677890513,1.13926872319295,0.774,0,3827.0,17,3760.0,3827.0,32,17,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.9406846093545806,-0.05226025607525448,-1.2868954166666668,0.07201704003813154
3598,0.554559529540339,1.1037685099164223,0.246,0,3827.0,18,3760.0,3827.0,33,18,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.810033969166446,-0.042633366798234,-1.2868954166666668,0.07201704003813154
3599,0.6092466369505687,1.0576820761151513,0.267,0,3827.0,19,3760.0,3827.0,34,19,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.9145544813169537,-0.045727724065847686,-1.2868954166666668,0.07201704003813154
3600,0.3795116726528661,0.9971486569501377,0.17,0,3827.0,20,3760.0,3827.0,35,20,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.810033969166446,-0.03857304615078314,-1.2868954166666668,0.07201704003813154
3601,0.5464302286055333,0.9718346749550367,0.243,0,3827.0,21,3760.0,3827.0,36,21,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.0452051215050995,-0.04750932370477725,-1.2868954166666668,0.07201704003813154
3602,1.1158916691403726,0.9633469349435043,0.489,0,3827.0,22,3760.0,3827.0,37,22,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.3326365299189957,-0.05794071869213025,-1.2868954166666668,0.07201704003813154
3603,0.6416459628949002,0.9285026180926432,0.995,0,3827.0,23,3760.0,3827.0,38,23,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.3326365299189957,-0.05552652207995815,-1.2868954166666668,0.07201704003813154
3604,0.463346267880002,0.8542688641685877,0.733,0,3827.0,24,3760.0,3827.0,39,24,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.3065064018813688,-0.05226025607525475,-1.2868954166666668,0.07201704003813154
3605,0.8221574191796701,0.6927738163347892,0.437,0,3827.0,25,3760.0,3827.0,40,25,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.3587666579566227,-0.05226025607525472,-1.2868954166666668,0.07201704003813154
3606,0.9198261306392419,0.6809367136926264,0.52,0,3827.0,26,3760.0,3827.0,41,26,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.5678076822576381,-0.05806695119472734,-1.2868954166666668,0.07201704003813154
3607,1.5446950900275431,0.7373306948147513,0.897,0,3827.0,27,3760.0,3827.0,42,27,0.0,1.7819,1.7819,14.0,0.12727857142857144,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.8029788345962916,-0.06439210123558184,-1.2868954166666668,0.07201704003813154
3608,1.3310935656815361,0.7857331208711068,2.621,-1,3827.0,28,3757.0,3757.0,0,0,-1.8291,0.0,-1.8291,27.0,-0.06774444444444444,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.0,0.0,1.2261912863070539,0.07201704003813154
3609,1.0664652278761815,0.8276794419048032,0.616,0,3827.0,29,3757.0,3757.0,1,1,-1.8291,0.0,-1.8291,27.0,-0.06774444444444444,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.31940377961139355,0.15970188980569677,1.2261912863070539,0.07201704003813154
